Ejecucion,GA,PSO,AEMP_GA,AEMP_PSO,AEMP_HIB
1,20783,19213,18931,19176,19076
2,20716,19250,19042,19121,18888
3,20776,19318,19204,18976,19003
4,20806,19185,19110,19601,19220
5,20877,19711,19098,19535,18993
6,20741,19602,19025,19418,19693
7,20936,19418,19277,19320,18798
8,20817,19865,18819,19308,19239
9,20884,19678,19079,18929,19213
10,20842,19824,18846,19097,18923
11,20768,19396,19490,18848,18896
12,20723,19290,19106,19168,19291
13,20612,19148,19107,18955,19113
14,20653,20403,18927,18988,19147
15,20984,19365,19186,18679,19202
16,20864,19479,19609,18937,19001
17,20583,19427,18762,18978,18897
18,20842,20056,18884,19487,19485
19,20831,19483,19085,19167,19262
20,20723,19609,19452,19060,19018
